function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
shasum,10,1.000,1.376,18512896.000,5,0,env,10,1.000,1.185,3563520.000,5,0,cows,0,1.000,0.081,48928256.000,1,0,115.200,112.340,5617683797.333,5631104853.333,10,0
shasum,10,1.000,1.806,18546176.000,5,0,env,10,1.000,1.083,4659200.000,5,0,cows,0,1.000,0.067,48941568.000,1,0,144.800,148.810,5651597994.667,5692644693.333,10,0
shasum,10,1.000,1.554,18505898.667,5,0,env,10,1.000,1.488,3768320.000,5,0,cows,10,1.000,0.770,18644992.000,5,0,132.680,122.890,5640513536.000,5649764522.667,10,0
shasum,10,1.000,1.441,18469205.333,5,0,env,10,1.000,1.110,3565568.000,5,0,cows,10,1.000,1.267,18644992.000,5,0,151.960,148.120,5693092522.667,5705995264.000,10,0
shasum,10,1.000,1.015,18478080.000,5,0,env,10,1.000,1.780,3112960.000,5,0,cows,10,1.000,1.251,5337088.000,5,0,143.640,142.640,5712408576.000,5709578581.333,10,0
shasum,10,1.000,1.652,18499584.000,5,0,env,10,1.000,1.247,2973696.000,5,0,cows,20,1.000,2.105,6967296.000,5,0,146.680,137.980,5713362944.000,5709057706.667,10,0
shasum,10,1.000,1.566,18549077.333,5,0,env,10,1.000,1.553,2994176.000,5,0,cows,20,1.000,6.470,7645866.667,13,0,154.720,158.930,5713016149.333,5815429461.333,10,0
shasum,10,1.000,1.269,18489856.000,5,0,env,10,1.000,1.090,3391488.000,5,0,cows,20,1.000,8.057,22713344.000,20,1,149.440,167.530,5937745237.333,6055196501.333,10,1
shasum,10,1.000,1.398,3913045.333,5,0,env,20,1.000,2.337,3170304.000,5,0,cows,0,1.000,2.026,24679765.333,1,0,178.800,150.420,6184373589.333,5961671850.667,20,0
shasum,10,1.000,1.042,18494976.000,1,0,env,20,1.000,2.965,3661824.000,9,0,cows,0,1.000,0.094,47831040.000,1,0,143.400,127.390,5690380970.667,5742093312.000,10,0
shasum,10,1.000,1.402,18501632.000,1,0,env,20,1.000,3.585,3944448.000,17,1,cows,0,1.000,0.094,47391744.000,1,0,117.040,129.740,5785421824.000,5852951381.333,10,1
shasum,20,1.000,1.451,18578432.000,5,0,env,0,1.000,0.795,3787434.667,1,0,cows,0,1.000,0.091,47394816.000,1,0,140.000,130.735,5937956181.333,5911413930.667,20,0
shasum,20,1.000,2.225,18682880.000,9,0,env,0,1.000,0.082,11554816.000,1,0,cows,0,1.000,0.109,46686720.000,1,0,139.520,101.540,5692699306.667,5701336405.333,10,0
shasum,20,1.000,4.168,18620416.000,17,1,env,0,1.000,0.077,11554816.000,1,0,cows,0,1.000,0.082,46260224.000,1,0,125.040,118.430,5758857898.667,5828516522.667,10,1
