function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.088,15496704.000,1,0,shasum,30,1.000,3.844,4745216.000,1,0,cows,30,1.000,3.917,5341184.000,1,0,116.800,112.730,12040999594.667,12050502485.333,10,0
figlet,0,1.000,0.081,15502848.000,1,0,shasum,30,1.000,3.913,18508970.667,1,0,cows,40,1.000,3.653,14386176.000,1,0,117.242,117.036,12038189738.667,12054768128.000,10,0
figlet,0,1.000,0.077,15503360.000,1,0,shasum,30,1.000,4.333,18642944.000,1,0,cows,40,0.999,4.620,5181440.000,1,0,125.880,119.207,12055422976.000,12054273877.333,10,0
figlet,0,1.000,0.092,15503360.000,1,0,shasum,30,1.000,4.224,4081664.000,1,0,cows,40,0.996,5.157,18406058.667,1,0,125.000,122.654,12007676586.667,12024754176.000,10,0
figlet,0,1.000,0.082,15503360.000,1,0,shasum,30,1.000,4.426,18451456.000,1,0,cows,50,1.000,6.377,15384576.000,1,0,127.200,123.534,12020282026.667,12030871893.333,10,0
figlet,0,1.000,0.067,15503360.000,1,0,shasum,30,1.000,4.550,18499584.000,1,0,cows,50,1.000,5.497,18888021.333,1,0,134.480,126.514,12023261184.000,12034072234.667,10,0
figlet,0,1.000,0.088,15503360.000,1,0,shasum,30,1.000,4.350,18579456.000,1,0,cows,50,1.000,4.956,5677056.000,1,0,131.920,127.988,12024092672.000,12036088490.667,10,0
figlet,0,1.000,0.091,15503360.000,1,0,shasum,40,1.000,4.579,2863104.000,1,0,cows,0,1.000,2.464,5435392.000,1,0,130.822,112.576,12038324224.000,12036526933.333,10,0
figlet,0,1.000,0.086,15507456.000,1,0,shasum,40,1.000,4.897,4954794.667,1,0,cows,0,1.000,0.114,93169664.000,1,0,95.400,88.010,11980676437.333,11986640213.333,10,0
figlet,0,1.000,0.074,15507968.000,1,0,shasum,40,1.000,4.328,4617216.000,1,0,cows,0,1.000,0.097,93309781.333,1,0,104.440,104.020,11977708202.667,12000918869.333,10,0
figlet,0,1.000,0.086,15511210.667,1,0,shasum,40,1.000,6.324,4905984.000,1,0,cows,10,1.000,0.552,93470208.000,1,0,102.440,91.148,11988099072.000,11990339925.333,10,0
figlet,0,1.000,0.095,15511552.000,1,0,shasum,40,1.000,4.935,18553856.000,1,0,cows,10,1.000,1.114,4984832.000,1,0,119.720,113.600,12022274730.667,12033833984.000,10,0
figlet,0,1.000,0.088,15511552.000,1,0,shasum,40,1.000,3.872,18608640.000,1,0,cows,10,1.000,1.758,6189056.000,1,0,120.640,111.848,12021122389.333,12029498880.000,10,0
figlet,0,1.000,0.105,15515648.000,1,0,shasum,40,1.000,4.302,5002240.000,1,0,cows,20,1.000,2.309,7335936.000,1,0,110.320,113.120,12038663509.333,12035265706.667,10,0
