function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,50,1.000,7.695,5279744.000,1,0,curl,20,1.000,13.843,8290304.000,1,0,178.359,177.011,9418710357.333,9443550208.000,10,0
nodeinfo,50,1.000,4.727,7839744.000,1,0,curl,20,1.000,15.440,6060032.000,1,0,189.160,175.727,9417863850.667,9444342442.667,10,0
nodeinfo,50,1.000,8.241,5345280.000,1,0,curl,30,1.000,18.129,4777472.000,1,0,171.400,185.229,9415209642.667,9456469333.333,10,0
nodeinfo,50,1.000,5.918,5709824.000,1,0,curl,30,1.000,22.226,7974912.000,1,0,194.106,192.179,9428905301.333,9450068138.667,10,0
nodeinfo,50,1.000,6.426,8548352.000,1,0,curl,30,1.000,19.554,4753920.000,1,0,211.060,195.585,9420237482.667,9450361173.333,10,0
nodeinfo,50,1.000,7.460,5427200.000,5,0,curl,40,1.000,22.493,7741440.000,5,0,189.821,192.015,9422217898.667,9450438826.667,10,0
nodeinfo,50,1.000,8.295,6320128.000,5,0,curl,40,1.000,24.152,5191680.000,5,0,180.760,193.787,9459565909.333,9467732992.000,10,0
nodeinfo,50,1.000,6.373,7409664.000,5,0,curl,40,1.000,19.849,6311424.000,13,0,200.480,201.491,9463820970.667,9520523946.667,10,0
nodeinfo,50,1.000,14.688,14913536.000,9,0,curl,50,1.000,28.404,11009024.000,17,1,191.543,202.243,9610627072.000,9688663722.667,10,1
nodeinfo,50,1.000,9.173,28743680.000,5,0,curl,50,1.000,26.381,11362531.556,5,0,215.840,201.149,9820252842.667,9819552256.000,20,0
nodeinfo,50,1.000,6.167,14258176.000,1,0,curl,50,1.000,27.624,6633472.000,1,0,206.055,207.062,9615171584.000,9600146602.667,10,0
