function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,20,1.000,2.390,3976704.000,1,0,nmap,0,1.000,0.278,51015680.000,1,0,curl,0,1.000,0.165,39034880.000,1,0,105.960,126.490,7900998997.333,7894941013.333,10,0
env,20,1.000,2.315,3153920.000,1,0,nmap,0,1.000,0.264,51015680.000,1,0,curl,10,1.000,5.261,41055232.000,1,0,169.400,144.363,7884811605.333,7909144405.333,10,0
env,20,1.000,2.716,4057088.000,1,0,nmap,0,1.000,0.184,51019264.000,1,0,curl,10,1.000,5.957,5255680.000,1,0,151.760,137.080,7904333141.333,7922041856.000,10,0
env,20,1.000,2.328,3006464.000,5,0,nmap,0,1.000,0.203,51022336.000,1,0,curl,10,1.000,5.158,3362816.000,5,0,147.950,220.970,7910664601.600,7933689685.333,10,0
env,20,1.000,2.785,3035136.000,5,0,nmap,0,1.000,0.199,51023872.000,1,0,curl,20,1.000,10.665,4793685.333,5,0,143.560,147.620,7924883456.000,7935314602.667,10,0
env,20,1.000,2.118,4381696.000,5,0,nmap,0,1.000,0.219,51023872.000,1,0,curl,20,1.000,16.676,3072000.000,5,0,145.760,149.030,7925065728.000,7941826730.667,10,0
env,20,1.000,3.005,3534848.000,9,0,nmap,0,1.000,0.251,51023872.000,1,0,curl,20,1.000,12.948,6679040.000,9,0,151.040,156.300,7937926485.333,8033329834.667,10,0
env,20,1.000,3.576,6939136.000,13,0,nmap,0,1.000,0.200,51023872.000,1,0,curl,30,1.000,18.352,5273429.333,13,0,163.480,159.450,8163517781.333,8238119082.667,10,0
env,20,1.000,2.950,8080725.333,1,0,nmap,0,1.000,0.180,48626688.000,1,0,curl,30,1.000,13.750,11522218.667,1,0,184.800,186.390,8328758613.333,8308210517.333,20,0
env,20,1.000,2.131,3231744.000,1,0,nmap,0,1.000,0.205,48201728.000,1,0,curl,30,1.000,22.422,5251072.000,1,0,204.120,193.802,7988555776.000,7985691648.000,10,0
env,20,1.000,2.349,4235264.000,1,0,nmap,0,1.000,0.203,48204970.667,1,0,curl,40,1.000,22.153,7389184.000,1,0,181.640,177.610,7975294976.000,7996089002.667,10,0
env,20,1.000,1.872,3000832.000,1,0,nmap,0,1.000,0.157,48205824.000,1,0,curl,40,1.000,30.418,6184960.000,1,0,216.610,220.882,8012991146.667,8060538026.667,10,0
env,20,1.000,2.724,4085760.000,1,0,nmap,0,1.000,0.209,48205824.000,1,0,curl,40,1.000,23.211,5287936.000,1,0,221.720,204.806,8019273728.000,8011238058.667,10,0
env,20,1.000,3.298,3762176.000,5,0,nmap,0,1.000,0.176,48205824.000,1,0,curl,50,1.000,20.135,6082560.000,5,0,199.240,184.270,7997487786.667,8008423424.000,10,0
env,20,1.000,1.614,3934208.000,5,0,nmap,0,1.000,0.158,48205824.000,1,0,curl,50,1.000,26.404,7378944.000,5,0,186.880,185.580,7998627157.333,8011867818.667,10,0
env,20,1.000,2.244,4362240.000,5,0,nmap,0,1.000,0.211,48205824.000,1,0,curl,50,1.000,33.470,3067904.000,13,0,172.520,190.490,7998704981.333,8066032128.000,10,0
env,20,1.000,2.389,2748416.000,13,0,nmap,10,1.000,48.858,67591168.000,1,0,curl,0,1.000,10.294,4321280.000,1,0,181.560,182.414,8163921920.000,8272666624.000,10,0
env,20,1.000,1.903,4350464.000,1,0,nmap,10,1.000,52.812,3162112.000,1,0,curl,0,1.000,0.209,10289152.000,1,0,218.007,193.830,8334555818.667,8198914048.000,20,0
env,20,1.000,2.624,4319232.000,1,0,nmap,10,1.000,58.714,5822976.000,1,0,curl,0,1.000,0.173,35819520.000,1,0,192.160,223.298,8004205226.667,8033771349.333,10,0
env,20,1.000,1.825,3957248.000,1,0,nmap,10,1.000,57.277,6608896.000,1,0,curl,10,1.000,5.166,37162496.000,1,0,188.400,187.065,8018670250.667,8030413312.000,10,0
env,20,1.000,1.373,5890048.000,5,0,nmap,10,1.000,46.526,4670976.000,5,0,curl,10,1.000,6.801,4657152.000,5,0,213.440,206.750,8049584810.667,8077645994.667,10,0
env,20,1.000,2.206,4349952.000,5,0,nmap,10,1.000,57.798,6967296.000,5,0,curl,10,1.000,5.500,3727360.000,5,0,206.492,204.099,8059200853.333,8082283690.667,10,0
env,20,1.000,2.673,3043328.000,5,0,nmap,10,1.000,73.434,3485696.000,1,0,curl,20,1.000,11.677,4198400.000,5,0,209.880,206.161,8060766208.000,8074372778.667,10,0
env,20,1.000,2.631,2787783.111,1,0,nmap,10,0.987,75.346,2867200.000,1,0,curl,20,1.000,11.012,2815488.000,1,0,218.867,219.024,8078726485.333,8171263658.667,10,0
