function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.089,14831616.000,1,0,env,50,1.000,4.163,4927488.000,1,0,curl,0,1.000,0.202,21662549.333,1,0,110.920,99.870,12935636992.000,12929783125.333,10,0
figlet,0,1.000,0.096,14850048.000,1,0,env,50,1.000,5.680,5048320.000,1,0,curl,0,1.000,0.145,21648042.667,1,0,99.880,111.420,12904275968.000,12924501333.333,10,0
figlet,0,1.000,0.085,14856192.000,1,0,env,50,1.000,5.358,7106560.000,1,0,curl,10,1.000,3.003,23269376.000,1,0,113.160,112.480,12902873088.000,12898611029.333,10,0
figlet,0,1.000,0.096,14856192.000,1,0,env,50,1.000,5.830,4564992.000,1,0,curl,10,1.000,5.299,4136448.000,1,0,138.160,132.187,12904781824.000,12936398848.000,10,0
figlet,0,1.000,0.081,14856192.000,1,0,env,50,1.000,6.015,5068800.000,1,0,curl,10,1.000,7.691,5703680.000,1,0,152.120,135.120,12925565610.667,12945999872.000,10,0
figlet,0,1.000,0.097,14856192.000,1,0,env,50,1.000,6.946,4536320.000,1,0,curl,20,1.000,11.496,24625493.333,1,0,157.200,149.320,12936485546.667,12947935744.000,10,0
figlet,0,1.000,0.073,14856192.000,1,0,env,50,1.000,5.255,7106560.000,1,0,curl,20,1.000,9.073,4777984.000,1,0,177.720,156.620,12925435221.333,12946898944.000,10,0
figlet,0,1.000,0.075,14856192.000,1,0,env,50,1.000,6.675,4038656.000,5,0,curl,20,1.000,14.020,5104128.000,5,0,178.320,151.370,12932488533.333,12944164010.667,10,0
figlet,0,1.000,0.099,14856192.000,1,0,env,50,1.000,6.569,4481536.000,5,0,curl,30,1.000,19.706,6146048.000,5,0,158.320,161.360,12917609813.333,12941131264.000,10,0
figlet,0,1.000,0.082,14856192.000,1,0,env,50,1.000,6.570,5266432.000,1,0,curl,30,1.000,21.864,5376512.000,1,0,155.720,213.720,12929951061.333,12950210218.667,10,0
figlet,0,1.000,0.095,14856192.000,1,0,env,50,1.000,4.630,5637632.000,5,0,curl,30,1.000,17.051,6261248.000,5,0,365.800,209.593,12908369237.333,12963284309.333,10,0
figlet,0,1.000,0.088,14856192.000,1,0,env,50,1.000,5.987,4784128.000,9,0,curl,40,1.000,21.226,12027392.000,9,0,150.280,170.440,13028197034.667,13102762496.000,10,0
figlet,0,1.000,0.077,14857045.333,1,0,env,50,1.000,7.442,8460800.000,13,0,curl,40,1.000,28.735,5238784.000,13,0,173.920,180.850,13196570624.000,13271589034.667,10,0
figlet,0,1.000,0.087,14864384.000,1,0,env,50,1.000,5.469,9217536.000,5,0,curl,40,1.000,17.946,10296832.000,5,0,198.720,188.440,13360665258.667,13406400853.333,20,0
figlet,0,1.000,0.095,14865920.000,1,0,env,50,1.000,5.243,2777088.000,9,0,curl,50,1.000,31.493,2850816.000,9,0,240.000,214.460,13196676437.333,13113216170.667,10,0
figlet,0,1.000,0.089,14935040.000,1,0,env,50,1.000,5.027,5513045.333,1,0,curl,50,1.000,20.129,6386176.000,1,0,192.680,183.390,13124573866.667,13178239829.333,10,0
figlet,0,1.000,0.094,14974976.000,1,0,env,50,1.000,6.187,4035072.000,1,0,curl,50,1.000,26.758,9367552.000,1,0,197.480,190.010,13090115584.000,13055896746.667,10,0
figlet,10,1.000,0.573,15408128.000,1,0,env,0,1.000,2.227,3772416.000,1,0,curl,0,1.000,14.577,3399680.000,1,0,195.280,129.340,13008834560.000,12999589034.667,10,0
figlet,10,1.000,2.119,4521984.000,1,0,env,0,1.000,0.077,16637952.000,1,0,curl,0,1.000,0.167,5074944.000,1,0,114.680,90.390,12959793152.000,12946823850.667,10,0
figlet,10,1.000,2.122,2846720.000,1,0,env,0,1.000,0.077,16637952.000,1,0,curl,0,1.000,0.188,26546176.000,1,0,88.880,84.380,12925494613.333,12952879274.667,10,0
figlet,10,1.000,1.827,4956160.000,1,0,env,0,1.000,0.075,16703488.000,1,0,curl,10,1.000,4.293,28398592.000,1,0,87.520,85.370,12934374741.333,12931071146.667,10,0
figlet,10,1.000,1.837,3678208.000,1,0,env,0,1.000,0.078,16637952.000,1,0,curl,10,1.000,8.077,4777984.000,1,0,107.160,101.040,12928569344.000,12960621397.333,10,0
figlet,10,1.000,1.912,4190208.000,1,0,env,0,1.000,0.069,16637952.000,1,0,curl,10,1.000,5.440,3645952.000,1,0,125.480,103.206,12955944277.333,12963817642.667,10,0
figlet,10,1.000,1.887,3885056.000,1,0,env,0,1.000,0.080,16637952.000,1,0,curl,20,1.000,10.872,7208960.000,1,0,126.960,117.670,12952270848.000,12975100928.000,10,0
figlet,10,1.000,1.860,4007936.000,5,0,env,0,1.000,0.075,16637952.000,1,0,curl,20,1.000,11.310,4643498.667,5,0,132.440,119.600,12962364757.333,12973700778.667,10,0
figlet,10,1.000,2.044,3909632.000,5,0,env,0,1.000,0.078,16637952.000,1,0,curl,20,1.000,12.153,6466048.000,5,0,127.440,121.600,12957990912.000,12975834624.000,10,0
figlet,10,1.000,2.039,3336192.000,5,0,env,0,1.000,0.081,16637952.000,1,0,curl,30,1.000,16.403,6256128.000,5,0,159.920,172.720,12974028117.333,13027102890.667,10,0
figlet,10,1.000,1.972,4098560.000,5,0,env,0,1.000,0.068,16637952.000,1,0,curl,30,1.000,17.035,4420949.333,13,0,152.280,156.740,12969613312.000,13011846144.000,10,0
figlet,10,1.000,2.240,3379200.000,5,0,env,0,1.000,0.068,16637952.000,1,0,curl,30,1.000,19.410,9964032.000,20,1,144.520,149.240,13094372693.333,13158729898.667,10,1
