function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_nmap,rate_function_nmap,success_rate_function_nmap,cpu_usage_function_nmap,ram_usage_function_nmap,replica_nmap,overloaded_function_nmap,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,10,1.000,1.320,3442005.333,5,0,cows,40,1.000,10.154,85272917.333,13,0,nmap,0,1.000,0.295,50464256.000,1,0,141.440,149.210,7266809856.000,7358929408.000,10,0
env,10,1.000,1.835,2564096.000,1,0,cows,40,1.000,12.513,85263018.667,17,1,nmap,0,1.000,0.214,50380458.667,1,0,156.000,155.900,7488699733.333,7569458517.333,10,1
env,20,1.000,1.770,16498688.000,5,0,cows,0,1.000,1.395,82817024.000,1,0,nmap,0,1.000,0.327,49490432.000,1,0,154.200,156.820,7657165482.667,7465247061.333,20,0
env,20,1.000,3.095,3080192.000,9,0,cows,0,1.000,0.106,82493440.000,1,0,nmap,0,1.000,0.178,49254400.000,1,0,109.880,110.410,7206101674.667,7225578496.000,10,0
env,20,1.000,3.473,4049920.000,13,0,cows,0,1.000,0.121,82258261.333,1,0,nmap,0,1.000,0.177,49254400.000,1,0,129.520,108.360,7282737152.000,7323952640.000,10,0
env,20,1.000,1.899,7082439.111,1,0,cows,0,1.000,0.094,81132544.000,1,0,nmap,10,1.000,68.611,68137984.000,1,0,116.320,151.000,7368245930.667,7380559701.333,20,0
env,20,1.000,2.802,4329472.000,1,0,cows,0,1.000,0.097,81220266.667,1,0,nmap,10,1.000,64.730,64061952.000,1,0,186.992,187.479,7251596629.333,7274702336.000,10,0
env,20,1.000,2.363,4438016.000,1,0,cows,0,1.000,0.111,80910336.000,1,0,nmap,10,1.000,56.493,5684736.000,1,0,202.920,206.252,7276903765.333,7333979477.333,10,0
env,20,1.000,2.796,4003157.333,5,0,cows,0,1.000,0.101,80899276.800,1,0,nmap,20,0.213,72.361,13697024.000,1,1,206.240,199.832,7341206869.333,7395240755.200,10,1
env,20,1.000,2.148,3538432.000,9,0,cows,0,1.000,0.099,81153501.867,1,0,nmap,20,0.342,107.908,134886058.667,1,1,185.000,188.379,7375910229.333,7359981294.933,10,1
env,20,1.000,2.069,3387392.000,5,0,cows,0,1.000,0.106,80990754.133,1,0,nmap,20,0.312,104.260,152269482.667,1,1,183.557,192.346,7401504085.333,7377916586.667,10,1
env,20,1.000,2.002,2973696.000,5,0,cows,10,1.000,1.000,81668949.333,5,0,nmap,0,1.000,31.086,69649749.333,1,0,170.200,136.591,7312665258.667,7259354282.667,10,0
env,20,1.000,2.886,2965504.000,5,0,cows,10,1.000,1.397,83062272.000,5,0,nmap,0,1.000,0.208,51912704.000,1,0,149.720,140.010,7286848170.667,7280757589.333,10,0
env,20,1.000,3.736,2850816.000,5,0,cows,10,1.000,1.790,83390976.000,5,0,nmap,0,1.000,0.188,51912704.000,1,0,125.840,126.220,7282040149.333,7270226773.333,10,0
env,20,1.000,2.928,4376576.000,5,0,cows,10,1.000,1.844,84405930.667,5,0,nmap,10,1.000,49.260,63533738.667,5,0,130.000,168.900,7282195114.667,7283704320.000,10,0
env,20,1.000,3.168,4198400.000,5,0,cows,10,1.000,1.342,85705045.333,1,0,nmap,10,1.000,58.183,80014165.333,1,0,205.440,241.006,7302832128.000,7329146538.667,10,0
env,20,1.000,2.502,3571200.000,1,0,cows,10,1.000,0.979,85049344.000,1,0,nmap,10,1.000,61.964,77421056.000,1,0,217.360,209.470,7301881173.333,7391908010.667,10,0
env,20,1.000,2.827,5099520.000,5,0,cows,10,1.000,2.504,84941346.133,5,0,nmap,20,0.175,58.586,121752644.267,1,1,215.640,212.631,7348753749.333,7464036215.467,10,1
env,20,1.000,1.572,2723840.000,5,0,cows,10,1.000,0.938,85191475.200,5,0,nmap,20,0.358,82.668,139079680.000,1,1,199.791,203.706,7393563306.667,7393569860.267,10,1
env,20,1.000,2.375,2801664.000,9,0,cows,10,1.000,0.711,85062587.733,9,0,nmap,20,0.338,101.278,105704243.200,1,1,200.473,204.237,7434714453.333,7389782425.600,10,1
env,20,1.000,1.330,2957312.000,5,0,cows,20,1.000,1.661,84920320.000,5,0,nmap,0,1.000,34.898,73544192.000,1,0,213.162,207.621,7483383808.000,7408838826.667,10,0
