function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,0,1.000,0.126,30296064.000,1,0,env,50,1.000,8.820,5138432.000,1,0,cows,30,1.000,2.868,7835648.000,1,0,146.840,148.890,4542624426.667,4554571776.000,10,0
nodeinfo,0,1.000,0.123,30373717.333,1,0,env,50,1.000,6.358,5079552.000,1,0,cows,30,1.000,5.301,15026176.000,1,0,148.120,147.630,4547797674.667,4561145514.667,10,0
nodeinfo,0,1.000,0.132,30395733.333,1,0,env,50,1.000,6.610,7585792.000,1,0,cows,30,1.000,3.170,11067392.000,1,0,141.840,146.040,4561552042.667,4567016960.000,10,0
nodeinfo,0,1.000,0.118,30370645.333,1,0,env,50,1.000,6.677,4307456.000,1,0,cows,40,1.000,5.042,7094272.000,1,0,152.440,147.050,4554400426.667,4557421226.667,10,0
nodeinfo,0,1.000,0.149,30438400.000,1,0,env,50,1.000,6.834,6782976.000,1,0,cows,40,1.000,6.309,7630848.000,1,0,148.040,149.670,4529071445.333,4536181418.667,10,0
nodeinfo,0,1.000,0.132,30584832.000,1,0,env,50,1.000,7.322,4344832.000,1,0,cows,40,1.000,6.012,13936640.000,1,0,146.000,146.060,4511939925.333,4518810282.667,10,0
nodeinfo,0,1.000,0.103,30709248.000,1,0,env,50,1.000,6.506,4632576.000,1,0,cows,50,1.000,5.528,13099008.000,1,0,157.840,148.850,4514580480.000,4522166272.000,10,0
nodeinfo,0,1.000,0.129,30927018.667,1,0,env,50,1.000,6.763,5628928.000,1,0,cows,50,1.000,5.750,5898240.000,1,0,146.760,151.330,4502634496.000,4510333781.333,10,0
nodeinfo,0,1.000,0.121,30918144.000,1,0,env,50,1.000,7.162,4812800.000,1,0,cows,50,1.000,5.026,8069120.000,1,0,151.800,147.780,4497776640.000,4510538752.000,10,0
nodeinfo,10,1.000,0.837,5394432.000,1,0,env,0,1.000,0.571,3231744.000,1,0,cows,0,1.000,2.025,6889472.000,1,0,161.200,125.000,4519121578.667,4520106837.333,10,0
nodeinfo,10,1.000,4.999,7540736.000,1,0,env,0,1.000,0.088,18755584.000,1,0,cows,0,1.000,0.103,51301717.333,1,0,94.240,92.620,4489263104.000,4486743040.000,10,0
nodeinfo,10,1.000,2.697,6946816.000,1,0,env,0,1.000,0.094,18755584.000,1,0,cows,0,1.000,0.109,51318272.000,1,0,99.360,106.070,4488028160.000,4504929109.333,10,0
nodeinfo,10,1.000,3.743,6946816.000,5,0,env,0,1.000,0.091,18755584.000,1,0,cows,10,1.000,0.986,6467584.000,5,0,96.880,102.540,4481768106.667,4490443264.000,10,0
nodeinfo,10,1.000,1.920,6955008.000,1,0,env,0,1.000,0.090,18756096.000,1,0,cows,10,1.000,2.103,6467584.000,1,0,115.160,110.950,4552850773.333,4518871381.333,10,0
nodeinfo,10,1.000,3.908,5423104.000,1,0,env,0,1.000,0.097,18759680.000,1,0,cows,10,1.000,2.405,16953344.000,1,0,126.160,126.280,4527535445.333,4531629909.333,10,0
nodeinfo,10,1.000,2.920,13840384.000,5,0,env,0,1.000,0.081,18759680.000,1,0,cows,20,1.000,1.862,7434240.000,5,0,129.920,123.770,4542041429.333,4525446997.333,10,0
nodeinfo,10,1.000,4.165,13840384.000,5,0,env,0,1.000,0.081,18759680.000,1,0,cows,20,0.998,2.492,7434240.000,5,0,113.760,123.490,4567095296.000,4539046912.000,10,0
nodeinfo,10,1.000,2.463,7188480.000,5,0,env,0,1.000,0.088,18759680.000,1,0,cows,20,1.000,3.052,16150528.000,5,0,121.040,114.960,4572566186.667,4534662314.667,10,0
nodeinfo,10,1.000,3.689,7188480.000,5,0,env,0,1.000,0.075,18759680.000,1,0,cows,30,1.000,3.105,16150528.000,5,0,163.996,172.979,4600399189.333,4596127914.667,10,0
nodeinfo,10,1.000,1.734,5201920.000,5,0,env,0,1.000,0.082,18759680.000,1,0,cows,30,1.000,3.802,5271552.000,5,0,123.600,126.640,4570053973.333,4541057536.000,10,0
nodeinfo,10,1.000,2.390,7127040.000,5,0,env,0,1.000,0.083,18759680.000,1,0,cows,30,1.000,8.565,9463808.000,13,0,126.200,135.270,4572039168.000,4642036224.000,10,0
nodeinfo,10,1.000,2.150,7127040.000,5,0,env,0,1.000,0.080,18796714.667,1,0,cows,40,1.000,12.851,23851690.667,20,1,137.480,160.610,4789249365.333,4881915050.667,10,1
nodeinfo,10,1.000,3.025,17403904.000,5,0,env,0,1.000,0.076,18759680.000,1,0,cows,40,1.000,4.400,25988096.000,5,0,137.466,191.230,5060381354.667,4777799338.667,20,0
nodeinfo,10,0.997,3.893,5267456.000,5,0,env,0,1.000,0.088,18759680.000,1,0,cows,40,1.000,11.340,18221397.333,17,1,238.240,198.050,4645236736.000,4779433984.000,10,1
nodeinfo,10,1.000,1.582,5267456.000,1,0,env,10,1.000,1.032,18795861.333,1,0,cows,0,1.000,2.968,25341952.000,1,0,168.599,130.775,4946070869.333,4752544426.667,20,0
nodeinfo,10,1.000,2.005,7700480.000,1,0,env,10,1.000,1.905,5689344.000,1,0,cows,0,1.000,0.106,51405824.000,1,0,115.600,115.479,4543057237.333,4584661162.667,10,0
nodeinfo,10,1.000,2.482,12716032.000,1,0,env,10,1.000,1.758,3756032.000,1,0,cows,0,1.000,0.106,51186176.000,1,0,113.640,110.420,4551720277.333,4582197077.333,10,0
nodeinfo,10,1.000,3.781,14389248.000,1,0,env,10,1.000,1.630,3817472.000,1,0,cows,10,1.000,0.734,50830848.000,1,0,124.760,111.190,4566422869.333,4592621568.000,10,0
nodeinfo,10,1.000,1.739,6721536.000,1,0,env,10,1.000,1.453,4247552.000,1,0,cows,10,1.000,0.992,6774784.000,1,0,132.080,136.720,4587132928.000,4637099349.333,10,0
nodeinfo,10,1.000,1.601,6275072.000,1,0,env,10,1.000,1.508,3987456.000,1,0,cows,10,1.000,0.876,6311936.000,1,0,134.120,142.917,4584642560.000,4630121472.000,10,0
nodeinfo,10,1.000,1.785,4972544.000,1,0,env,10,1.000,1.622,3604480.000,1,0,cows,20,1.000,2.779,13422592.000,1,0,154.800,147.390,4589374805.333,4600875690.667,10,0
nodeinfo,10,1.000,1.877,7454720.000,1,0,env,10,1.000,1.151,3043328.000,1,0,cows,20,1.000,1.982,15544320.000,1,0,149.680,149.380,4589727061.333,4612125013.333,10,0
nodeinfo,10,1.000,1.464,6488064.000,1,0,env,10,1.000,1.571,3993600.000,1,0,cows,20,1.000,2.046,7270400.000,1,0,141.760,145.250,4596114090.667,4609807872.000,10,0
nodeinfo,10,1.000,1.724,5763072.000,1,0,env,10,1.000,1.551,3874816.000,1,0,cows,30,1.000,4.610,13959168.000,1,0,155.920,151.950,4588066816.000,4611756202.667,10,0
nodeinfo,10,1.000,1.732,7090176.000,1,0,env,10,1.000,1.483,4494848.000,1,0,cows,30,1.000,3.642,18907136.000,1,0,153.160,154.380,4606277632.000,4607636992.000,10,0
nodeinfo,10,1.000,2.136,7409664.000,1,0,env,10,1.000,1.531,3883008.000,1,0,cows,30,1.000,3.940,8548352.000,1,0,155.160,150.310,4570183680.000,4594101760.000,10,0
nodeinfo,10,1.000,1.980,6356992.000,1,0,env,10,1.000,1.602,4219392.000,1,0,cows,40,1.000,2.960,5894144.000,1,0,167.720,158.370,4577293653.333,4587695616.000,10,0
nodeinfo,10,1.000,1.672,6483968.000,1,0,env,10,1.000,1.318,3418112.000,1,0,cows,40,0.999,5.188,18968576.000,1,0,159.200,154.690,4562838869.333,4582754304.000,10,0
nodeinfo,10,1.000,1.646,7036928.000,1,0,env,10,1.000,1.424,4061696.000,1,0,cows,40,1.000,4.008,11300864.000,1,0,162.760,156.700,4572804437.333,4592274261.333,10,0
nodeinfo,10,1.000,1.865,5550080.000,5,0,env,10,1.000,1.856,3936256.000,5,0,cows,50,1.000,5.435,15822848.000,5,0,151.560,155.140,4613188949.333,4603034624.000,10,0
nodeinfo,10,1.000,1.783,6225920.000,5,0,env,10,1.000,1.541,3948544.000,5,0,cows,50,1.000,4.225,9682944.000,5,0,157.600,163.400,4629066410.667,4612612778.667,10,0
nodeinfo,10,1.000,1.996,7536640.000,5,0,env,10,1.000,1.454,3399680.000,5,0,cows,50,1.000,4.590,17747968.000,5,0,183.960,160.860,4629488981.333,4617345024.000,10,0
