function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_shasum,rate_function_shasum,success_rate_function_shasum,cpu_usage_function_shasum,ram_usage_function_shasum,replica_shasum,overloaded_function_shasum,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
nodeinfo,40,1.000,8.866,20871680.000,9,0,shasum,20,1.000,2.731,2703360.000,9,0,179.760,153.692,9216922965.333,9278070954.667,10,0
nodeinfo,40,1.000,10.471,14159872.000,13,0,shasum,30,1.000,4.736,4831232.000,13,0,147.840,152.179,9390429525.333,9469442901.333,10,0
nodeinfo,40,1.000,11.233,18952704.000,17,1,shasum,30,1.000,4.927,7880704.000,17,1,177.560,158.067,9611373226.667,9700426240.000,10,1
nodeinfo,40,0.998,8.904,24989696.000,5,0,shasum,30,1.000,3.440,8681472.000,5,0,187.861,177.775,9856445098.667,9730638848.000,20,0
nodeinfo,40,1.000,9.053,19304448.000,9,0,shasum,40,1.000,4.692,2682880.000,9,0,196.760,173.230,9332525056.000,9355671040.000,10,0
nodeinfo,40,1.000,8.586,28566186.667,1,0,shasum,40,1.000,4.112,4295680.000,1,0,166.320,157.470,9454737408.000,9479823701.333,10,0
nodeinfo,40,1.000,5.753,4411392.000,1,0,shasum,40,1.000,4.854,4681728.000,1,0,193.815,171.332,9317922816.000,9304206336.000,10,0
nodeinfo,40,1.000,7.213,13217792.000,1,0,shasum,50,1.000,5.179,4237824.000,1,0,153.676,163.349,9253279744.000,9280453120.000,10,0
nodeinfo,40,1.000,7.096,15181824.000,1,0,shasum,50,1.000,5.681,4825088.000,1,0,159.760,158.763,9254370645.333,9275329706.667,10,0
nodeinfo,40,1.000,8.248,5632000.000,1,0,shasum,50,1.000,5.943,4552704.000,1,0,175.280,163.180,9250279424.000,9276136448.000,10,0
nodeinfo,50,1.000,7.610,7643136.000,1,0,shasum,0,1.000,2.613,7122944.000,1,0,166.000,148.820,9248684714.667,9262667093.333,10,0
nodeinfo,50,1.000,7.753,5488640.000,1,0,shasum,0,1.000,0.066,4395008.000,1,0,131.920,120.904,9219353258.667,9222389589.333,10,0
nodeinfo,50,1.000,10.458,14333952.000,1,0,shasum,0,1.000,0.083,19632128.000,1,0,122.840,139.190,9200241322.667,9248181077.333,10,0
nodeinfo,50,1.000,9.216,5476352.000,1,0,shasum,10,1.000,0.874,19676672.000,1,0,121.640,127.930,9198784512.000,9216454997.333,10,0
nodeinfo,50,1.000,7.858,4898816.000,1,0,shasum,10,1.000,1.472,3893760.000,1,0,141.280,140.150,9209349461.333,9251300181.333,10,0
nodeinfo,50,1.000,6.318,19959808.000,1,0,shasum,10,1.000,1.584,4098048.000,1,0,153.200,146.799,9233260544.000,9257290581.333,10,0
nodeinfo,50,1.000,7.609,7491584.000,1,0,shasum,20,1.000,2.528,4212736.000,1,0,157.480,154.254,9228192426.667,9252123989.333,10,0
nodeinfo,50,1.000,8.483,7495680.000,1,0,shasum,20,1.000,3.367,4259840.000,1,0,166.520,151.116,9225687722.667,9248735232.000,10,0
nodeinfo,50,1.000,8.774,14000128.000,1,0,shasum,20,1.000,2.217,4057088.000,1,0,166.320,152.410,9223423317.333,9254484309.333,10,0
nodeinfo,50,1.000,10.628,15501312.000,1,0,shasum,30,1.000,3.912,5664768.000,1,0,156.760,167.215,9236246528.000,9262398805.333,10,0
nodeinfo,50,1.000,7.923,5447680.000,1,0,shasum,30,1.000,3.904,4159488.000,1,0,175.960,154.225,9229970090.667,9251533312.000,10,0
nodeinfo,50,1.000,8.987,6258688.000,1,0,shasum,30,1.000,4.025,4261888.000,1,0,161.920,154.320,9228541952.000,9250844501.333,10,0
nodeinfo,50,1.000,7.920,5963776.000,5,0,shasum,40,1.000,4.368,4440064.000,5,0,152.100,163.695,9245708970.667,9263240192.000,10,0
nodeinfo,50,1.000,7.106,13434880.000,5,0,shasum,40,1.000,4.017,4399104.000,5,0,167.600,167.420,9266833408.000,9271440042.667,10,0
nodeinfo,50,1.000,7.476,9252864.000,5,0,shasum,40,1.000,5.307,5081600.000,5,0,166.840,166.832,9255737344.000,9270415189.333,10,0
nodeinfo,50,1.000,13.257,17960789.333,9,0,shasum,50,1.000,6.520,5907456.000,9,0,163.367,158.632,9264158037.333,9330582357.333,10,0
nodeinfo,50,1.000,13.165,14480896.000,13,0,shasum,50,1.000,6.318,9306624.000,13,0,170.359,165.356,9451927552.000,9527324501.333,10,0
nodeinfo,50,1.000,15.064,27517440.000,17,1,shasum,50,1.000,6.127,9628160.000,17,1,178.840,171.296,9665483434.667,9742417920.000,10,1
