function_figlet,rate_function_figlet,success_rate_function_figlet,cpu_usage_function_figlet,ram_usage_function_figlet,replica_figlet,overloaded_function_figlet,function_nodeinfo,rate_function_nodeinfo,success_rate_function_nodeinfo,cpu_usage_function_nodeinfo,ram_usage_function_nodeinfo,replica_nodeinfo,overloaded_function_nodeinfo,function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
figlet,0,1.000,0.113,15593472.000,1,0,nodeinfo,40,1.000,8.170,5259264.000,1,0,env,10,1.000,1.923,5582848.000,1,0,183.560,177.314,10406127616.000,10414375082.667,10,0
figlet,0,1.000,0.121,15593472.000,1,0,nodeinfo,40,1.000,8.397,15724544.000,1,0,env,20,1.000,2.242,12175360.000,1,0,180.066,173.318,10375053312.000,10405954901.333,10,0
figlet,0,1.000,0.120,15593472.000,1,0,nodeinfo,40,1.000,7.507,13996032.000,1,0,env,20,1.000,2.719,4345856.000,1,0,183.320,177.205,10385010005.333,10414373717.333,10,0
figlet,0,1.000,0.123,15594325.333,1,0,nodeinfo,40,1.000,6.188,5824512.000,1,0,env,20,1.000,3.683,6283264.000,1,0,179.080,171.598,10384901461.333,10410236074.667,10,0
figlet,0,1.000,0.124,15597568.000,1,0,nodeinfo,40,1.000,6.965,5283840.000,1,0,env,30,1.000,3.233,4054528.000,1,0,186.600,181.710,10378511018.667,10412306090.667,10,0
figlet,0,1.000,0.109,15597568.000,1,0,nodeinfo,40,1.000,6.678,6557696.000,1,0,env,30,1.000,4.207,4080640.000,1,0,187.138,180.778,10425885354.667,10446387541.333,10,0
figlet,0,1.000,0.125,15597568.000,1,0,nodeinfo,40,1.000,6.513,7081984.000,1,0,env,30,1.000,5.002,4444160.000,1,0,192.520,182.171,10401295018.667,10426159445.333,10,0
figlet,0,1.000,0.101,15635968.000,1,0,nodeinfo,40,1.000,6.591,7651328.000,5,0,env,40,1.000,5.521,4544512.000,5,0,200.280,178.438,10396882261.333,10428501504.000,10,0
figlet,0,1.000,0.112,15600981.333,1,0,nodeinfo,40,1.000,7.799,20107264.000,5,0,env,40,1.000,4.955,12406272.000,5,0,180.880,182.495,10431524864.000,10434793130.667,10,0
figlet,0,1.000,0.112,15605418.667,1,0,nodeinfo,40,1.000,8.907,5844992.000,5,0,env,40,1.000,5.301,3145728.000,5,0,180.160,182.343,10428072618.667,10435638442.667,10,0
