function_env,rate_function_env,success_rate_function_env,cpu_usage_function_env,ram_usage_function_env,replica_env,overloaded_function_env,function_cows,rate_function_cows,success_rate_function_cows,cpu_usage_function_cows,ram_usage_function_cows,replica_cows,overloaded_function_cows,function_curl,rate_function_curl,success_rate_function_curl,cpu_usage_function_curl,ram_usage_function_curl,replica_curl,overloaded_function_curl,cpu_usage_idle_node,cpu_usage_node,ram_usage_idle_node,ram_usage_node,rest_seconds,overloaded_node
env,10,1.000,1.412,3774464.000,1,0,cows,10,1.000,0.908,53353472.000,1,0,curl,0,1.000,2.659,3698688.000,1,0,226.840,169.630,7433055573.333,7452446037.333,10,0
env,10,1.000,1.514,4156416.000,1,0,cows,10,1.000,2.327,9744384.000,1,0,curl,0,1.000,0.220,4665344.000,1,0,162.560,139.200,7432239786.667,7423480149.333,10,0
env,10,1.000,1.220,3987456.000,1,0,cows,10,1.000,1.932,19841024.000,1,0,curl,0,1.000,0.180,30390954.667,1,0,154.200,176.640,7427339605.333,7469588480.000,10,0
env,10,1.000,1.477,5513216.000,1,0,cows,10,1.000,1.416,5337088.000,1,0,curl,10,1.000,5.048,32170496.000,1,0,142.560,139.270,7419911509.333,7414415701.333,10,0
env,10,1.000,1.896,3864576.000,1,0,cows,10,1.000,1.011,4898816.000,1,0,curl,10,1.000,7.755,5009408.000,1,0,158.120,158.519,7414798336.000,7446466901.333,10,0
env,10,1.000,1.321,4009984.000,1,0,cows,10,1.000,1.268,5627904.000,1,0,curl,10,1.000,7.727,4237312.000,1,0,172.520,162.210,7432725162.667,7450834432.000,10,0
env,10,1.000,1.697,3682304.000,5,0,cows,10,1.000,1.130,20086784.000,5,0,curl,20,1.000,10.160,4741120.000,5,0,173.080,168.530,7434866688.000,7448821589.333,10,0
env,10,1.000,1.846,3901440.000,5,0,cows,10,1.000,1.647,18687317.333,5,0,curl,20,1.000,9.291,4300800.000,5,0,174.880,171.230,7449153536.000,7457710080.000,10,0
env,10,1.000,1.194,3814741.333,5,0,cows,10,1.000,2.007,5795840.000,5,0,curl,20,1.000,13.555,4995072.000,5,0,175.840,178.230,7459840000.000,7454998357.333,10,0
env,10,1.000,1.638,16737792.000,1,0,cows,10,1.000,1.408,8384512.000,1,0,curl,30,1.000,13.818,6481920.000,9,0,189.080,185.813,7456903850.667,7504477866.667,10,0
env,10,1.000,0.996,3954176.000,1,0,cows,10,1.000,0.935,18104320.000,1,0,curl,30,1.000,18.929,10193408.000,17,1,188.598,202.119,7555759445.333,7647476053.333,10,1
env,10,1.000,0.683,4090538.667,1,0,cows,10,1.000,2.207,19753642.667,1,0,curl,30,1.000,15.912,10489856.000,1,0,213.280,199.676,7741485738.667,7694155946.667,20,0
env,10,1.000,1.771,3732480.000,1,0,cows,10,1.000,1.259,7639040.000,1,0,curl,40,1.000,25.250,4499456.000,1,0,213.440,211.177,7501009578.667,7537992362.667,10,0
env,10,1.000,1.568,3977216.000,1,0,cows,10,1.000,1.277,9445376.000,1,0,curl,40,1.000,22.257,7479296.000,1,0,221.080,210.930,7520712021.333,7531201194.667,10,0
env,10,1.000,1.416,2883584.000,1,0,cows,10,1.000,1.196,6025216.000,1,0,curl,40,1.000,28.680,5296128.000,1,0,216.080,207.233,7490564096.000,7522538154.667,10,0
env,10,1.000,1.575,3901440.000,5,0,cows,10,1.000,1.209,7106560.000,5,0,curl,50,1.000,29.081,5322752.000,5,0,216.360,235.666,7509846698.667,7527233365.333,10,0
env,10,1.000,1.502,3233792.000,5,0,cows,10,1.000,1.554,7696384.000,5,0,curl,50,1.000,31.367,4929536.000,5,0,208.160,208.490,7535344298.667,7534623061.333,10,0
env,10,1.000,1.415,3448320.000,1,0,cows,10,1.000,1.276,54042624.000,1,0,curl,50,1.000,31.944,6645760.000,9,0,222.920,217.080,7534339413.333,7597267968.000,10,0
env,10,1.000,1.447,3229696.000,1,0,cows,20,1.000,2.193,6885376.000,5,0,curl,0,1.000,11.236,3549184.000,1,0,207.640,204.430,7635834880.000,7687680170.667,10,0
env,10,1.000,1.219,3854336.000,1,0,cows,20,1.000,4.334,15986688.000,1,0,curl,0,1.000,0.154,10047488.000,1,0,211.520,175.010,7643686912.000,7607161344.000,10,0
env,10,1.000,1.067,3313664.000,1,0,cows,20,1.000,3.317,5332992.000,1,0,curl,0,1.000,0.200,30793728.000,1,0,152.350,172.189,7496841625.600,7576641706.667,10,0
env,10,1.000,1.355,3194880.000,1,0,cows,20,1.000,2.826,53871616.000,1,0,curl,10,1.000,3.897,32261632.000,1,0,151.240,147.040,7522341546.667,7525896704.000,10,0
env,10,1.000,1.358,3944448.000,1,0,cows,20,1.000,2.427,8871936.000,1,0,curl,10,1.000,8.006,4544512.000,1,0,164.200,160.700,7530714453.333,7560036693.333,10,0
